pdf_name,Continent,background,humans,nature,language,photo,busy,logo,graphic,Name,Size,Sector,Country,Country Status,Region,Date Added,Title,Publication Year,Type,Report Pdf Address,Report Html Address,Adherence Level,Status,Application Level,Sector Supplements (Final),GRI Content Index URL,Integrated,Organization type,Listed/Non-listed,OECD,UNGC,CDP,IFC,ISO,External Assurance,Type of Assurance Provider,Assurance Provider,Stakeholder Panel/ Expert Opinion,Assurance Scope,Level of Assurance,Assurance Standard: AA1000 AS,Assurance Stanadard: ISAE3000,Assurance Standard: national (general),Assurance Standard: national (sustainability),Materiality Matters Check,GRI Service,Featured Report?,OS,GOLD Community,SDGs
A1_2015.pdf,Europe,blue,0,TRUE,Others,TRUE,Somewhat Busy,TRUE,FALSE,A1,Large,Telecommunications,Austria,OECD,Europe,7-7-2017,A1 Umwelterklärung 2014,2015,Non - GRI,http://www.nachhaltigkeitsberichte.at/Media/Default/Berichte/a1-umwelterklaerung-2014.pdf,http://www.nachhaltigkeitsberichte.at/Nachhaltigkeitsberichte2014,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,No,NA,NA
A1_2017.pdf,Europe,blue,1,TRUE,Others,TRUE,Somewhat Busy,TRUE,FALSE,A1,Large,Telecommunications,Austria,OECD,Europe,27-11-2017,Umwelterklärung 2016/2017,2017,Non - GRI,http://cdn12.a1.net/m/resources/media/pdf/A1-Umwelterkl-rung-2016-2017.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
AdaptITGroup_2013.pdf,Africa,white,0,FALSE,English,FALSE,Not Busy,TRUE,TRUE,Adapt IT Group,Large,Telecommunications,South Africa,DAC-UMICT,Africa,5-12-2013,Integrated annual report 2013,2013,Citing-GRI,http://www.adaptit.co.za/Investors/Documents/AnnualReport_2013.pdf.pdf,NA,NA,NA,NA,NA,NA,Yes,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
AdaptITGroup_2014.pdf,Africa,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Adapt IT Group,Large,Telecommunications,South Africa,DAC-UMICT,Africa,28-8-2014,Integrated Annual Report 2014,2014,Citing-GRI,http://www.adaptit.co.za/Investors/Documents/AnnualReport_2014.pdf,NA,NA,NA,NA,NA,NA,Yes,Private company,Listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
AdaptITGroup_2015.pdf,Africa,white,0,FALSE,English,FALSE,Very Busy,TRUE,TRUE,Adapt IT Group,Large,Telecommunications,South Africa,DAC-UMICT,Africa,4-11-2015,Integrated Annual Report 2015,2015,Citing-GRI,http://www.adaptit.co.za/Investors/Documents/Adapt%20IT%20IAR.pdf,NA,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,No,NA,NA
AdaptITGroup_2016.pdf,Africa,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Adapt IT Group,Large,Telecommunications,South Africa,DAC-UMICT,Africa,29-11-2016,Integrated Annual Report 2016,2016,Citing-GRI,http://www.adaptit.co.za/Investors/Documents/ADAPT_IT_2016_INTEGRATED_ANNUAL_REPORT.pdf,http://www.adaptit.co.za/Investors/Documents/ADAPT_IT_2016_INTEGRATED_ANNUAL_REPORT.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
AdaptITGroup_2017.pdf,Africa,white,0,FALSE,English,FALSE,Somewhat Busy,TRUE,TRUE,Adapt IT Group,Large,Telecommunications,South Africa,DAC-UMICT,Africa,23-11-2017,Integrated Report 2017,2017,Citing-GRI,https://www.adaptit.co.za/Documents/Adapt%20IT%20Integrated%20Annual%20Report%202017.pdf,https://www.adaptit.co.za/Documents/Adapt%20IT%20Integrated%20Annual%20Report%202017.pdf,NA,NA,NA,NA,NA,NA,Private company,Listed,NA,NA,NA,NA,NA,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,No,NA,No,NA
AdvancedInfoService_2017.pdf,Asia,green,8,TRUE,English,TRUE,Somewhat Busy,TRUE,FALSE,Advanced Info Service,Large,Telecommunications,Thailand,DAC-UMICT,Asia,4-8-2017,AIS Sustainability Report 2016,2017,GRI - G4,http://advanc.listedcompany.com/misc/sustainability/20170228-advanc-sdr-2016-en-02.pdf,http://investor.ais.co.th/sustainability_report.html,In accordance - Core,NA,NA,Not Applicable,NA,No,Private company,Listed,No,Yes,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,Materiality Disclosures Service,No,NA,No,Yes
AlbaniaMobileCommunications_2013.pdf,Europe,white,0,FALSE,English,FALSE,Not Busy,FALSE,FALSE,Albania Mobile Communications,Large,Telecommunications,Albania,DAC-UMICT,Europe,1-11-2016,AMC Corporate Responsibility 2012 Report,2013,GRI - G3.1,https://www.telekom.com.al/reports/english/CR_Report_2012.pdf,NA,B,GRI-checked,NA,Not Applicable,NA,No,Private company,Non-listed,No,No,No,No,No,No,NA,NA,No,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA
Altron(AlliedElectronicsCorporationLimited)_2015.pdf,Africa,blue,0,FALSE,English,FALSE,Very Busy,TRUE,TRUE,Altron (Allied Electronics Corporation Limited),MNE,Telecommunications,South Africa,DAC-UMICT,Africa,5-10-2015,Integrated Annual Report 2015,2015,GRI - G4,http://www.altron.com/sites/altron_d7_live/files/Altron_IAR_2015.pdf,NA,In accordance - Core,NA,NA,Not Applicable,NA,Yes,Private company,Listed,No,Yes,Yes,No,No,Yes,Engineering firm,ERM,No,Not specified,Limited/ Moderate,Yes,No,No,No,NA,NA,No,No,NA,NA
